Epoch 49/9999, Iters: 000300, loss: 31.9119, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 16/9999, Iters: 000100, loss: 43.6126, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/9999, Iters: 000200, loss: 34.5355, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 49/9999, Iters: 000300, loss: 30.8223, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 66/9999, Iters: 000400, loss: 25.6196, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/9999, Iters: 000500, loss: 19.2250, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 99/9999, Iters: 000600, loss: 17.8249, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 116/9999, Iters: 000700, loss: 14.5071, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 133/9999, Iters: 000800, loss: 12.0342, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 149/9999, Iters: 000900, loss: 10.7541, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 166/9999, Iters: 001000, loss: 9.2108, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 183/9999, Iters: 001100, loss: 6.7451, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 199/9999, Iters: 001200, loss: 6.9678, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 216/9999, Iters: 001300, loss: 5.7552, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 233/9999, Iters: 001400, loss: 4.4360, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 16/9999, Iters: 000100, loss: 67.5524, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/9999, Iters: 000200, loss: 59.7416, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
